name,url,price
Iowa,https://www.glassesshop.com/eyeglasses/fz1015?page=2,$29.95
Osborn,https://www.glassesshop.com/eyeglasses/fz1709?page=2,$34.95
Joyce,https://www.glassesshop.com/eyeglasses/fp1505?page=2,$19.95
Terre,https://www.glassesshop.com/eyeglasses/rm0247?page=2,$32.95
Elroy,https://www.glassesshop.com/eyeglasses/sup1014?page=2,$29.95
Lambert,https://www.glassesshop.com/eyeglasses/fm1087?page=3,$39.95
Grace,https://www.glassesshop.com/eyeglasses/fz1592?page=3,$29.95
Newman,https://www.glassesshop.com/eyeglasses/sup0910?page=3,$19.95
Bainbridge,https://www.glassesshop.com/eyeglasses/fp2185?page=3,$19.95
Barbara,https://www.glassesshop.com/eyeglasses/sup0738?page=3,$29.95
Michelle,https://www.glassesshop.com/eyeglasses/sup1174?page=3,$29.95
,,
Equality,https://www.glassesshop.com/eyeglasses/fz1749?page=3,$29.95
Nicole,https://www.glassesshop.com/eyeglasses/fz1083?page=3,$29.95
Brunswick,https://www.glassesshop.com/eyeglasses/fm1017?page=3,$29.95
Miranda,https://www.glassesshop.com/eyeglasses/fp2323?page=3,$19.95
Woolf,https://www.glassesshop.com/eyeglasses/fp2491?page=3,$24.95
Hyannis,https://www.glassesshop.com/eyeglasses/fp1113?page=3,$2.99
Irvine,https://www.glassesshop.com/eyeglasses/fp2075?page=3,$24.95
Mika,https://www.glassesshop.com/eyeglasses/sup0652?page=3,$29.95
Tower,https://www.glassesshop.com/eyeglasses/fp2330?page=3,$19.95
TerreHaute,https://www.glassesshop.com/eyeglasses/sup1204?page=3,$19.95
Platteville,https://www.glassesshop.com/eyeglasses/fp2508?page=3,$19.95
Ely,https://www.glassesshop.com/eyeglasses/sup0997?page=3,$29.95
,,
Hackensack,https://www.glassesshop.com/eyeglasses/sup0998?page=3,$24.95
Persol,https://www.glassesshop.com/eyeglasses/fp1859?page=3,$19.95
Rouge,https://www.glassesshop.com/eyeglasses/fm1574?page=3,$19.95
,,
Durham,https://www.glassesshop.com/eyeglasses/fz1652?page=3,$29.95
Ina,https://www.glassesshop.com/eyeglasses/fz1649?page=3,$39.95
Orleans,https://www.glassesshop.com/eyeglasses/ft0458?page=3,$49.95
,,
Beulah,https://www.glassesshop.com/eyeglasses/fz1245?page=3,$29.95
Trenton,https://www.glassesshop.com/eyeglasses/fp1232?page=3,$19.95
Hartford,https://www.glassesshop.com/eyeglasses/fp2077?page=3,$24.95
Hawthorn,https://www.glassesshop.com/eyeglasses/fm1349?page=3,$29.95
Benjamin,https://www.glassesshop.com/eyeglasses/fm1466?page=3,$29.95
Ventura,https://www.glassesshop.com/eyeglasses/fz1762?page=3,$24.95
Creston,https://www.glassesshop.com/eyeglasses/fz1687?page=3,$29.95
Key,https://www.glassesshop.com/eyeglasses/fz1752?page=3,$29.95
Kansas,https://www.glassesshop.com/eyeglasses/fz1635?page=3,$29.95
Spender,https://www.glassesshop.com/eyeglasses/sup0633?page=3,$19.95
Richfield,https://www.glassesshop.com/eyeglasses/rm0307?page=3,$29.95
Bobosa,https://www.glassesshop.com/eyeglasses/fz1375?page=3,$29.95
Labrador,https://www.glassesshop.com/eyeglasses/fp1988?page=3,$12.95
Wilcox,https://www.glassesshop.com/eyeglasses/fp2494?page=3,$24.95
Barret,https://www.glassesshop.com/eyeglasses/fm1565?page=3,$29.95
